2013-01-01 00:03:00 , 2013-01-01 00:03:00[[1, 3, 1, 3]] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 1652376
2013-01-01 00:03:00 , 2013-01-01 00:03:00[[1, 3, 1, 3], [1, 4, 1, 4]] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 65922
2013-01-01 00:03:00 , 2013-01-01 00:03:00[[1, 3, 1, 3], [1, 4, 1, 4], [1, 5, 1, 5]] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 106580
2013-01-01 00:03:00 , 2013-01-01 00:03:00[[1, 3, 1, 3], [1, 4, 1, 4], [1, 1, 1, 6], [1, 5, 1, 5]] , NULL , NULL , NULL , NULL , NULL , NULL , 143290
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 3, 1, 3], [1, 4, 1, 4], [1, 1, 1, 6], [1, 5, 1, 5]] , NULL , NULL , NULL , NULL , NULL , 108158
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 3, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5]] , NULL , NULL , NULL , NULL , 104606
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 3, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5], [1, 5, 1, 4]] , NULL , NULL , NULL , 106579
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5], [1, 5, 1, 4]] , NULL , NULL , 142106
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5], [1, 3, 1, 6], [1, 5, 1, 4]] , NULL , 195790
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 4, 1, 1], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5], [1, 3, 1, 6], [1, 5, 1, 4]] , 151974
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 4, 1, 1], [1, 5, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5], [1, 3, 1, 6]] , 266844
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 5, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6], [1, 5, 1, 5]] , 278291
2013-01-01 00:03:00 , 2013-01-01 00:04:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6]] , 153554
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 3, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3], [1, 1, 1, 6]] , 125132
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4], [1, 4, 1, 3]] , 125527
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 1, 1, 3], [1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4]] , 148817
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 1, 1, 3], [1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4]] , 156316
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 1, 1, 3], [1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4]] , 317370
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 1, 1, 3], [1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3], [1, 4, 1, 4]] , 430265
2013-01-01 00:03:00 , 2013-01-01 00:05:00[[1, 1, 1, 1], [1, 1, 1, 3], [1, 3, 1, 1], [1, 5, 1, 1], [1, 1, 1, 5], [1, 3, 1, 3], [1, 1, 1, 4], [1, 4, 1, 1], [1, 3, 1, 5], [1, 5, 1, 3]] , 140527
